,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
84,Barrow,71.29,-156.79,277.15,86,90,7.2,US,1599086550
85,Río Gallegos,-51.62,-69.22,280.15,71,81,4.6,AR,1599086727
86,Killybegs,54.63,-8.45,287.59,91,79,2.24,IE,1599086787
87,Nikolskoye,59.7,30.79,286.48,87,61,3.0,RU,1599086693
88,Bima,-8.47,118.72,298.15,84,86,1.81,ID,1599086793
89,Grand-Santi,4.25,-54.38,299.88,66,79,0.87,GF,1599086796
90,Lahat,-3.8,103.53,295.56,89,100,0.59,ID,1599086799
91,Tevaitoa,-16.78,-151.5,299.01,74,45,7.99,PF,1599086803
92,Butaritari,3.07,172.79,301.37,75,24,6.49,KI,1599086584
93,Soe,-9.86,124.28,294.94,64,16,2.4,ID,1599086809
94,Santo Tomas,14.11,121.14,300.37,88,95,0.62,PH,1599086812
95,Sitka,57.05,-135.33,286.15,82,90,3.6,US,1599086816
96,Lewiston,44.1,-70.21,291.15,93,90,5.1,US,1599086819
97,Kahului,20.89,-156.47,305.15,46,40,11.8,US,1599086699
98,Ibrā’,22.69,58.53,299.9,57,3,1.21,OM,1599086825
99,Saskylakh,71.92,114.08,279.83,83,100,2.86,RU,1599086581
100,Olafsvik,64.89,-23.71,281.1,77,98,13.29,IS,1599086715
101,Longyearbyen,78.22,15.64,277.15,86,75,3.6,SJ,1599086835
102,Pisco,-13.7,-76.22,290.37,77,2,8.7,PE,1599086838
103,Bengkulu,-3.8,102.27,297.53,90,95,3.55,ID,1599086842
104,Kuching,1.55,110.33,296.15,100,40,1.0,MY,1599086845
105,Puerto Ayora,-0.74,-90.35,293.71,83,85,3.13,EC,1599086848
106,Porkhov,57.77,29.56,287.15,82,95,3.0,RU,1599086851
107,Port Alfred,-33.59,26.89,291.16,78,43,3.57,ZA,1599086855
108,Dikson,73.51,80.55,278.06,84,0,4.54,RU,1599086858
109,Pestravka,52.41,49.96,284.62,76,0,5.18,RU,1599086861
110,Adrar,20.5,-10.07,302.05,51,92,7.02,MR,1599086864
111,Avarua,-21.21,-159.78,299.15,78,2,6.7,CK,1599086704
112,Vila Velha,-20.33,-40.29,296.48,78,20,2.1,BR,1599086690
113,San Francisco,37.77,-122.42,295.15,56,20,8.2,US,1599086235
114,Cayenne,4.93,-52.33,301.15,74,0,2.6,GF,1599086877
115,Mobile,30.78,-88.2,305.93,62,20,3.6,US,1599086673
116,Naze,28.37,129.48,301.15,88,75,2.1,JP,1599086884
117,Marsá Maţrūḩ,31.35,27.25,299.15,83,0,3.1,EG,1599086887
118,Toucheng,24.86,121.82,302.04,88,16,1.84,TW,1599086890
119,Judaberg,59.17,5.87,289.82,77,10,5.7,NO,1599086893
120,Hambantota,6.12,81.12,297.15,100,75,1.0,LK,1599086897
121,Palmer,42.16,-72.33,294.26,94,90,1.5,US,1599086900
122,Mezen',65.85,44.24,279.48,80,63,2.44,RU,1599086763
123,Mar del Plata,-38.0,-57.56,281.48,100,90,5.1,AR,1599086906
124,Tautira,-17.73,-149.15,302.15,62,20,4.1,PF,1599086910
125,Beringovskiy,63.05,179.32,282.15,57,8,1.79,RU,1599086617
126,Bambous Virieux,-20.34,57.76,294.26,94,75,0.5,MU,1599086916
127,Brae,60.4,-1.35,286.15,93,100,8.7,GB,1599086919
128,Bonthe,7.53,-12.51,297.92,81,88,3.84,SL,1599086923
129,Thamaga,-24.67,25.54,289.15,63,90,6.2,BW,1599086926
130,Bethel,41.37,-73.41,297.04,94,95,2.38,US,1599086929
131,Dunedin,-45.87,170.5,284.26,66,0,1.34,NZ,1599086874
132,Los Llanos de Aridane,28.66,-17.92,295.15,68,4,3.6,ES,1599086728
133,Mazyr,52.05,29.25,290.59,89,80,4.85,BY,1599086939
134,Isla Vista,34.41,-119.86,299.26,60,1,5.1,US,1599086942
135,Valley City,46.92,-98.0,299.15,47,1,6.7,US,1599086945
136,Parintins,-2.63,-56.74,302.38,46,4,1.54,BR,1599086948
137,Ostrovnoy,68.05,39.51,283.47,78,100,8.31,RU,1599086918
138,Norman Wells,65.28,-126.83,287.15,71,75,3.6,CA,1599086955
139,Menzel Salem,35.86,8.48,292.15,68,20,1.0,TN,1599086958
140,Bonavista,48.65,-53.11,287.04,74,50,3.58,CA,1599086962
141,Belawan,3.78,98.68,297.43,91,100,2.6,ID,1599086965
142,Ribeira Grande,38.52,-28.7,296.3,82,94,2.53,PT,1599086968
143,Ilulissat,69.22,-51.1,277.15,80,99,2.1,GL,1599086971
144,Khatanga,71.97,102.5,280.51,74,100,7.25,RU,1599086915
145,Sungurlu,40.17,34.37,296.0,30,0,2.51,TR,1599086978
146,Talara,-4.58,-81.27,290.2,82,1,9.74,PE,1599086694
147,Roald,62.58,6.13,290.37,93,0,1.0,NO,1599086984
148,Dingle,11.0,122.67,299.65,86,85,0.73,PH,1599086988
149,Anadyr,64.75,177.48,283.15,71,40,1.0,RU,1599086991
150,Provideniya,64.38,-173.3,281.15,65,75,5.0,RU,1599086696
151,Hofn,64.25,-15.21,283.6,77,100,8.2,IS,1599086997
152,Paris,48.85,2.35,291.48,55,100,1.0,FR,1599086504
153,Najrān,17.49,44.13,300.15,42,65,1.5,SA,1599087004
154,Geraldton,-28.77,114.6,282.15,100,75,4.1,AU,1599087007
155,Hong Kong,22.29,114.16,303.15,84,44,1.79,HK,1599087010
156,Quryq,43.2,51.65,297.4,42,0,1.78,KZ,1599087014
157,Klyuchi,52.27,79.17,294.08,42,0,4.97,RU,1599087017
158,Sikonge,-5.63,32.77,292.31,47,6,4.83,TZ,1599087020
159,East London,-33.02,27.91,291.36,83,55,2.69,ZA,1599086910
160,Pangnirtung,66.15,-65.71,281.53,68,77,3.81,CA,1599087026
161,Port-Cartier,50.03,-66.87,286.48,87,90,4.6,CA,1599087030
162,Aldan,58.6,125.39,284.9,61,8,2.74,RU,1599087033
163,Dankov,53.25,39.16,289.15,63,100,4.0,RU,1599087036
164,Mahébourg,-20.41,57.7,294.15,94,75,0.5,MU,1599087040
165,Muzhi,65.37,64.67,281.45,79,93,8.8,RU,1599087043
166,San Patricio,19.22,-104.7,305.15,66,20,5.1,MX,1599087046
167,Villalba,18.13,-66.49,302.59,92,27,1.34,PR,1599087049
168,Plettenberg Bay,-34.05,23.37,288.77,44,0,3.1,ZA,1599087053
169,Muhafazat Lahij,13.17,44.58,304.14,46,2,2.89,YE,1599087056
170,Tomatlán,19.93,-105.25,302.36,72,1,2.89,MX,1599086765
171,Luba,3.46,8.55,298.15,100,75,1.0,GQ,1599087062
172,Antanifotsy,-19.65,47.32,285.89,77,72,1.75,MG,1599087066
173,Domoni,-12.26,44.53,295.68,73,1,3.28,KM,1599087069
174,Moerdijk,51.7,4.63,287.04,88,82,1.48,NL,1599087072
175,Arys,42.43,68.8,291.15,59,0,5.0,KZ,1599087075
176,Port Hardy,50.7,-127.42,290.15,77,20,4.6,CA,1599087079
177,Abū Zabad,12.35,29.25,297.9,73,52,3.79,SD,1599087082
178,Margate,51.38,1.39,289.26,79,100,2.24,GB,1599087085
179,Richards Bay,-28.78,32.04,290.75,70,31,8.35,ZA,1599087088
180,Pittsburg,38.03,-121.88,301.48,44,1,6.2,US,1599087081
181,Kamaishi,39.27,141.88,298.15,88,75,2.1,JP,1599087095
182,Lyuban',52.8,28.0,288.92,96,84,2.98,BY,1599087098
183,Baykit,61.67,96.37,279.76,86,43,1.75,RU,1599087101
184,Henties Bay,-22.12,14.28,285.37,84,0,0.79,NA,1599087105
185,Clyde River,70.47,-68.59,279.15,87,75,5.1,CA,1599087108
186,Tuktoyaktuk,69.45,-133.04,284.15,87,75,1.5,CA,1599087111
187,Las Varas,21.17,-105.17,304.26,69,20,4.1,MX,1599087115
188,Vao,-22.67,167.48,292.91,71,17,10.01,NC,1599087118
189,Coahuayana Viejo,18.73,-103.68,300.15,83,75,5.1,MX,1599087121
190,Phonhong,18.5,102.42,297.55,89,39,0.62,LA,1599087125
191,Kargil,34.57,76.1,285.97,55,31,2.4,IN,1599087128
192,Iracoubo,5.48,-53.2,299.75,81,75,5.71,GF,1599087131
193,Yerbogachën,61.28,108.01,284.33,87,93,4.69,RU,1599086982
194,Wahiawā,21.5,-158.02,305.15,54,75,5.7,US,1599086953
195,Bull Savanna,17.89,-77.59,299.42,81,100,4.06,JM,1599087141
196,Nur-Sultan,51.18,71.45,291.15,45,0,4.0,KZ,1599087144
197,Valparaíso,-33.04,-71.63,289.15,58,1,6.2,CL,1599087147
198,Ürümqi,43.8,87.6,294.15,37,11,3.0,CN,1599086892
199,Mopti,14.67,-4.0,296.89,79,100,6.22,ML,1599087154
200,Katsuura,35.13,140.3,302.04,87,65,6.58,JP,1599087157
201,Amberley,39.2,-84.43,300.15,69,20,3.6,US,1599086891
202,Faya,18.39,42.45,292.15,88,20,3.53,SA,1599087164
203,Murgab,37.5,61.97,296.15,31,0,3.1,TM,1599087167
204,Kulhudhuffushi,6.62,73.07,299.26,88,100,9.8,MV,1599087170
205,Tuatapere,-46.13,167.68,280.37,72,33,4.92,NZ,1599087173
206,Samarai,-10.62,150.67,298.83,87,86,8.42,PG,1599087177
207,Nālūt,30.33,10.85,298.31,55,24,5.06,LY,1599087180
208,Morón,-34.65,-58.62,284.26,99,100,3.58,AR,1599087183
209,Huarmey,-10.07,-78.15,290.2,75,9,4.78,PE,1599087187
210,Misratah,32.38,15.09,299.54,83,6,4.76,LY,1599087190
211,Flin Flon,54.77,-101.86,288.15,51,75,3.6,CA,1599087193
212,Berlevåg,70.86,29.09,285.56,67,99,7.69,NO,1599087196
213,Lagoa,39.05,-27.98,296.03,78,93,2.29,PT,1599087200
214,Kaseda-shirakame,31.42,130.32,296.15,100,75,5.1,JP,1599087203
215,Erzin,36.96,36.2,302.04,86,33,1.54,TR,1599087206
216,Yangi Marg`ilon,40.43,71.72,297.15,44,76,2.1,UZ,1599087209
217,Eydhafushi,5.1,73.07,301.03,78,87,9.91,MV,1599087213
218,Lüderitz,-26.65,15.16,285.92,59,0,3.88,NA,1599087216
219,Kitwe,-12.8,28.25,290.14,51,0,4.05,ZM,1599087219
220,Saint George,37.1,-113.58,310.37,11,1,2.1,US,1599086953
221,Tilichiki,60.47,166.1,283.11,78,97,3.27,RU,1599087225
222,Nha Trang,12.25,109.18,300.15,88,20,2.1,VN,1599087048
223,Conceição do Araguaia,-8.26,-49.26,302.35,28,30,1.97,BR,1599087232
224,Khandyga,62.67,135.6,284.38,96,100,2.74,RU,1599087235
225,Xining,36.62,101.77,283.25,60,40,0.92,CN,1599087132
226,Horsham,51.06,-0.33,289.82,82,40,3.1,GB,1599087242
227,Hasaki,35.73,140.83,302.15,89,20,4.6,JP,1599087135
228,Port Shepstone,-30.74,30.45,290.26,75,20,6.09,ZA,1599087248
229,Kidal,18.44,1.41,300.64,62,33,10.95,ML,1599087251
230,San Luis,-33.3,-66.34,283.94,45,0,3.82,AR,1599087254
231,Upernavik,72.79,-56.15,276.86,74,67,2.59,GL,1599087258
232,Santa Pola,38.19,-0.57,298.15,73,40,1.0,ES,1599087261
233,Ranong,9.97,98.63,299.95,82,100,0.99,TH,1599087264
234,Bentiu,9.23,29.83,295.47,93,99,1.28,SS,1599087268
235,Srednekolymsk,67.45,153.68,279.52,70,77,3.87,RU,1599087271
236,Gushikawa,26.35,127.87,301.15,94,20,1.5,JP,1599087274
237,Malindi,-3.22,40.12,297.04,81,13,5.82,KE,1599087277
238,Egvekinot,66.32,-179.17,275.88,82,100,1.16,RU,1599087281
239,Taman',45.21,36.72,293.15,94,0,3.0,RU,1599087284
240,Omboué,-1.57,9.26,296.04,87,64,2.84,GA,1599087287
241,Ovalle,-30.6,-71.2,287.76,54,0,1.55,CL,1599087230
242,Dvinskoy Bereznik,62.86,42.71,280.52,92,2,0.98,RU,1599087293
243,Yellowknife,62.46,-114.35,285.15,54,40,5.7,CA,1599087297
244,Dryden,49.78,-92.75,290.15,55,75,5.7,CA,1599087300
245,Codrington,-38.27,141.97,284.76,82,1,9.14,AU,1599087182
246,Biak,-0.91,122.88,298.94,79,66,2.91,ID,1599087306
247,Itaituba,-4.28,-55.98,302.92,36,16,1.18,BR,1599087310
248,Lahaina,20.88,-156.68,305.15,48,40,7.7,US,1599087245
249,Tiksi,71.69,128.87,277.7,82,6,6.41,RU,1599087316
250,Lavrentiya,65.58,-171.0,278.23,76,100,3.46,RU,1599087319
251,Ongandjera,-17.88,15.07,291.58,22,12,3.58,NA,1599087322
252,Pevek,69.7,170.31,275.83,83,88,2.99,RU,1599087326
253,Turochak,52.26,87.12,286.21,77,5,1.46,RU,1599087329
254,Bathsheba,13.22,-59.52,302.15,70,20,4.6,BB,1599087164
255,Austin,30.27,-97.74,302.15,83,20,2.1,US,1599086551
256,Thunder Bay,48.4,-89.32,294.15,43,40,9.3,CA,1599087172
257,Olinda,-8.01,-34.86,296.15,88,20,2.1,BR,1599087342
258,La Asuncion,11.03,-63.86,301.15,83,36,3.1,VE,1599087345
259,Yarkovo,57.4,67.08,280.09,86,1,5.55,RU,1599087348
260,Kavieng,-2.57,150.8,302.0,69,60,2.61,PG,1599087352
261,Dandong,40.13,124.39,291.29,93,100,5.87,CN,1599087221
262,Sydney Mines,46.24,-60.22,288.15,77,75,4.6,CA,1599087358
263,Seydi,39.48,62.91,296.51,22,0,4.2,TM,1599087361
264,Atasū,48.68,71.64,293.99,29,2,2.62,KZ,1599087364
265,Sobolevo,54.43,31.9,288.95,83,89,5.82,RU,1599087368
266,Hithadhoo,-0.6,73.08,300.83,74,100,4.84,MV,1599087152
267,Sinnai,39.3,9.2,294.82,82,8,1.5,IT,1599087374
268,Podhum,43.72,17.0,295.15,56,100,3.6,BA,1599087377
269,Northam,51.03,-4.22,290.93,98,98,4.92,GB,1599087381
270,Jiuquan,39.74,98.52,289.6,28,75,1.66,CN,1599087384
271,Novomykolayivka,47.98,35.91,296.48,46,3,2.69,UA,1599087387
272,Banda Aceh,5.56,95.32,299.76,71,100,3.33,ID,1599087303
273,Livingston,55.9,-3.52,290.15,93,20,7.2,GB,1599087206
274,Columbus,39.96,-83.0,299.26,69,90,5.1,US,1599087339
275,Nome,64.5,-165.41,282.15,70,75,6.2,US,1599087153
276,Husavik,66.04,-17.34,280.15,87,75,5.7,IS,1599087403
277,Qasigiannguit,68.82,-51.19,277.15,80,100,2.1,GL,1599087406
278,Lorengau,-2.02,147.27,302.39,68,74,1.45,PG,1599087410
279,Lompoc,34.64,-120.46,293.71,68,1,7.2,US,1599087413
280,Cañete,-37.8,-73.4,280.21,85,83,0.81,CL,1599087416
281,Mareeba,-17.0,145.43,298.15,76,45,2.24,AU,1599087419
282,Chumikan,54.72,135.31,285.15,95,100,1.78,RU,1599087423
283,Wagar,16.15,36.2,304.02,55,95,5.43,SD,1599087426
284,Salé,34.04,-6.82,293.71,93,40,1.5,MA,1599087429
285,Baharly,38.44,57.43,296.84,20,0,1.79,TM,1599087432
286,Tecpan,14.76,-90.99,299.15,50,75,3.1,GT,1599087436
287,Novy Urengoy,66.08,76.63,279.87,77,100,4.51,RU,1599087439
288,Puro,12.48,123.38,301.2,74,99,1.14,PH,1599087442
289,Baijiantan,45.63,85.18,296.61,24,0,0.37,CN,1599087445
290,Rocha,-34.48,-54.33,288.69,96,100,5.26,UY,1599087449
291,Strelka,58.07,93.03,283.58,95,97,2.09,RU,1599087452
292,Mariehamn,60.1,19.93,289.15,77,75,4.6,AX,1599087455
293,Tortolì,39.93,9.66,294.15,68,5,7.2,IT,1599087458
294,Sakakah,29.97,40.21,305.15,11,0,4.1,SA,1599087462
295,Maniitsoq,65.42,-52.9,280.08,62,82,3.83,GL,1599087197
296,Daru,-9.08,143.21,299.18,87,80,7.68,PG,1599087468
297,Thompson,55.74,-97.86,286.15,54,75,5.1,CA,1599087313
298,Porto-Novo,6.5,2.6,299.15,88,90,5.7,BJ,1599087474
299,Amga,60.9,131.96,285.3,87,2,1.43,RU,1599087478
300,Petropavlovsk-Kamchatskiy,53.05,158.65,286.15,93,75,1.0,RU,1599087481
301,Manama,26.22,50.58,305.15,70,0,1.03,BH,1599087484
302,Te Anau,-45.42,167.72,282.43,62,17,0.47,NZ,1599087487
303,Stornoway,58.21,-6.39,287.15,93,90,5.7,GB,1599087490
304,Smithers,54.78,-127.17,288.15,62,90,2.1,CA,1599087494
305,Videbæk,56.09,8.63,284.82,93,0,0.5,DK,1599087497
306,Umluj,25.02,37.27,303.7,46,12,2.79,SA,1599087500
307,Chara,56.91,118.26,286.35,61,0,0.08,RU,1599087504
308,Acapulco de Juárez,16.86,-99.89,303.15,74,5,3.1,MX,1599087507
309,Jinchang,38.5,102.17,289.59,32,100,1.26,CN,1599087510
310,Eureka,40.8,-124.16,292.04,37,38,0.45,US,1599087403
311,Kenai,60.55,-151.26,285.15,87,90,8.7,US,1599087517
312,Safi,32.3,-9.24,293.44,89,0,4.1,MA,1599087477
313,Cherskiy,68.75,161.3,279.69,61,6,4.18,RU,1599087370
314,Saint-Joseph,-21.37,55.62,292.15,68,40,2.6,RE,1599087526
315,Makkah al Mukarramah,21.43,39.83,303.94,41,27,0.96,SA,1599087529
316,Gordeyevka,52.96,31.97,292.58,81,79,6.33,RU,1599087533
317,Nouadhibou,20.93,-17.03,297.15,73,0,4.1,MR,1599087536
318,Morant Bay,17.88,-76.41,300.15,83,75,7.2,JM,1599087539
319,City of San Pedro,14.35,121.02,300.37,88,99,1.24,PH,1599087542
320,Myitkyina,25.38,97.4,296.69,80,82,0.44,MM,1599087384
321,El Batey,19.77,-70.52,303.15,84,20,4.1,DO,1599087549
322,Palau,7.5,134.62,300.15,83,75,1.82,PW,1599087552
323,Surgut,61.25,73.42,282.15,100,40,5.0,RU,1599087283
324,Ponta Delgada,37.73,-25.67,296.15,73,75,3.6,PT,1599087559
325,Anderson,34.53,-82.65,305.15,55,1,5.1,US,1599087563
326,Pustoshka,56.34,29.37,288.12,94,100,3.75,RU,1599087567
327,Tyup,42.73,78.36,287.45,60,0,0.63,KG,1599087570
328,Cam Ranh,11.92,109.16,300.15,88,20,1.0,VN,1599087574
329,Wenling,28.37,121.36,299.26,97,3,2.85,CN,1599087353
330,Ilūkste,55.98,26.3,291.72,95,100,5.21,LV,1599087368
331,Doumé,4.23,13.45,293.53,93,98,0.84,CM,1599087583
332,Nanortalik,60.14,-45.24,279.82,64,25,3.55,GL,1599087587
333,Souillac,-20.52,57.52,294.15,94,75,0.5,MU,1599087590
334,Bilibino,68.05,166.44,278.2,66,27,4.77,RU,1599087593
335,Porosozero,62.72,32.73,282.92,83,99,2.19,RU,1599087596
336,Manokwari,-0.87,134.08,299.85,75,100,2.85,ID,1599087600
337,Guilin,25.28,110.29,297.15,88,41,2.0,CN,1599087603
338,Wanning,18.8,110.4,299.88,81,43,1.62,CN,1599087607
339,Sergeevka,53.88,67.42,284.43,66,98,7.82,KZ,1599087611
340,Ahipara,-35.17,173.17,286.74,64,19,7.58,NZ,1599087340
341,Kyabé,9.45,18.94,294.75,96,100,2.65,TD,1599087617
342,Tromsø,69.65,18.96,283.15,87,75,8.7,NO,1599087621
343,Xiongzhou,25.12,114.3,298.81,77,53,0.55,CN,1599087368
344,Kalmunai,7.42,81.82,299.24,77,74,1.66,LK,1599087627
345,Sola,-13.88,167.55,299.13,81,95,13.26,VU,1599087630
346,Christchurch,-43.53,172.63,285.93,53,0,0.5,NZ,1599087634
347,Mankono,8.06,-6.19,294.72,96,13,1.78,CI,1599087637
348,Mossamedes,-15.2,12.15,290.93,80,2,0.21,AO,1599087513
349,San Antonio,29.42,-98.49,305.15,62,1,5.1,US,1599087594
350,Fort Nelson,58.81,-122.7,292.15,37,40,7.2,CA,1599087647
351,Yuncheng,35.02,110.99,292.26,43,0,1.47,CN,1599087650
352,Vila Franca do Campo,37.72,-25.43,296.15,73,75,3.6,PT,1599087481
353,Bloomfield,40.81,-74.19,301.15,69,75,2.6,US,1599087657
354,Cap Malheureux,-19.98,57.61,294.26,83,3,0.89,MU,1599087660
355,Burla,21.5,83.87,296.26,91,8,0.76,IN,1599087663
356,Mahon,39.89,4.27,292.15,68,0,1.5,ES,1599087666
357,Banjar,-8.19,114.97,299.15,100,40,6.2,ID,1599087670
358,Roebourne,-20.78,117.13,295.18,23,84,3.9,AU,1599087673
359,Tezu,27.92,96.17,298.21,72,80,1.13,IN,1599087676
360,Talnakh,69.49,88.4,273.15,69,90,1.0,RU,1599087679
361,Nuuk,64.18,-51.72,282.15,57,20,4.1,GL,1599087502
362,Caucayá,-0.19,-74.78,297.15,87,80,1.97,CO,1599087686
363,Severo-Kuril'sk,50.68,156.12,287.42,76,100,5.82,RU,1599087689
364,Waingapu,-9.66,120.26,298.68,80,79,3.51,ID,1599087693
365,Pochutla,15.74,-96.47,304.26,65,0,3.15,MX,1599087696
366,São João da Barra,-21.64,-41.05,295.27,86,0,4.11,BR,1599087577
367,Isangel,-19.55,169.27,296.15,69,75,5.1,VU,1599087597
368,Verkhnetulomskiy,68.61,31.8,283.15,81,97,2.0,RU,1599087706
369,Iqaluit,63.75,-68.51,278.15,93,75,5.7,CA,1599087669
370,Touros,-5.2,-35.46,297.15,88,20,3.1,BR,1599087541
371,Paamiut,61.99,-49.67,280.07,69,32,6.15,GL,1599087715
372,Osakarovka,50.56,72.57,292.25,31,0,4.71,KZ,1599087719
373,Okhotsk,59.38,143.3,285.73,85,86,2.83,RU,1599087684
374,Lourinhã,39.23,-9.32,292.04,85,0,0.45,PT,1599087725
